model,g,lam,mu,seed,warmup,horizon,L,Lq,utilization,W_mean,Wq_mean,Pwait_sim,Pwait_theory,n_samples,obs_time,arrivals_obs,lambda_hat,rho_theory,little_L_error,little_Lq_error,L_theory,Lq_theory,W_theory,Wq_theory
mmg,2,1.7,1.0,138,10000.0,200000.0,5.992943272726847,4.296193282847266,0.8483749949397833,3.524352673288882,2.5265270913635884,0.778028488123758,0.781081081081081,323082,190000.0,323084,1.700442105263158,0.85,2.40394905856059e-06,4.6002109626743816e-06,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,139,10000.0,200000.0,5.984185830991396,4.286480133618113,0.8488528486866211,3.521740152577516,2.5226334872325062,0.7802309445931213,0.781081081081081,322848,190000.0,322850,1.6992105263157895,0.85,1.318940108050164e-06,1.222897087034461e-06,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,140,10000.0,200000.0,6.093706667680919,4.392273154063278,0.8507167568089058,3.585708993957735,2.584536894551078,0.7815052138337706,0.781081081081081,322891,190000.0,322894,1.6994421052631579,0.85,2.996744748337084e-07,5.31127506851022e-07,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,141,10000.0,200000.0,6.153422165913947,4.455551577709624,0.8489352941022072,3.6213979202416957,2.6221134576657996,0.7794630631300458,0.781081081081081,322794,190000.0,322801,1.6989526315789474,0.85,0.00013628828027382117,0.0001582337220083682,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,142,10000.0,200000.0,6.0504991766946645,4.350636579288419,0.849931298703188,3.5620730396281512,2.5613175304308484,0.7808127068330833,0.781081081081081,322724,190000.0,322731,1.6985842105263158,0.85,3.0005525622599135e-06,5.301282675062966e-06,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,3,2.55,1.0,123,10000.0,200000.0,6.703797045115975,4.155086448769742,0.8495701987819636,2.628240934536913,1.6290223030940671,0.7299571006741322,0.7303766105054509,484623,190000.0,484627,2.5506684210526314,0.85,3.862061252820648e-06,2.2374799749294774e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,124,10000.0,200000.0,6.723998130788702,4.175653338974579,0.8494482639379678,2.640354858637622,1.639649633054583,0.729277542964027,0.7303766105054509,483835,190000.0,483850,2.546578947368421,0.85,1.8743937425045117e-05,3.738394084697428e-05,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,125,10000.0,200000.0,6.8837410563644905,4.319235286083273,0.8548352567604338,2.696252726219531,1.691781472070586,0.7400655561969159,0.7303766105054509,485080,190000.0,485081,2.5530578947368423,0.85,7.517349005354239e-06,4.455104358103537e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,126,10000.0,200000.0,6.700459499462755,4.148852238449308,0.8505357536710867,2.626032947758023,1.6260166331797208,0.7311248169310423,0.7303766105054509,484790,190000.0,484795,2.5515526315789474,0.85,2.655045149748432e-07,3.5626555730183568e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,127,10000.0,200000.0,6.546710696697781,4.004553242370767,0.8473858181090715,2.571141653332287,1.5727452598634701,0.7265952982857946,0.7303766105054509,483781,190000.0,483784,2.5462315789473684,0.85,1.7375082483164155e-06,5.095183445318955e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,128,10000.0,200000.0,6.725456806678631,4.171965045454458,0.8511639204079472,2.6307112392382885,1.6318971338215884,0.7327312180379304,0.7303766105054509,485732,190000.0,485736,2.5565052631578946,0.85,4.412743724669925e-06,2.7406527043039546e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,129,10000.0,200000.0,6.7379455546939795,4.185182647018867,0.85092096922502,2.6385556842156674,1.638885017030802,0.7322886416053325,0.7303766105054509,485183,190000.0,485195,2.5536578947368422,0.85,3.4133558876510464e-06,7.403431307145221e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,130,10000.0,200000.0,6.549336359594949,3.9978471277823635,0.8504964106041796,2.564899125691602,1.5656555013892324,0.7297803704123594,0.7303766105054509,485135,190000.0,485137,2.553352631578947,0.85,3.7320922660734045e-05,4.415705715309306e-05,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,131,10000.0,200000.0,6.738696408051451,4.187685943459692,0.850336821530607,2.6425941678441154,1.6422177582667528,0.7298074918627283,0.7303766105054509,484499,190000.0,484508,2.550042105263158,0.85,4.449981433296446e-06,9.190309856635315e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,132,10000.0,200000.0,6.6803891972787275,4.127902716705472,0.8508288268577772,2.6233183538666727,1.6209891668040268,0.7322291092698191,0.7303766105054509,483839,190000.0,483846,2.546557894736842,0.85,6.416866927638067e-06,9.70064097102379e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,133,10000.0,200000.0,6.678300197632373,4.130213744002721,0.849362151209912,2.623599053385473,1.622574471097851,0.7294757410030291,0.7303766105054509,483635,190000.0,483641,2.545478947368421,0.85,2.3896943225978982e-06,3.731698954237142e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,134,10000.0,200000.0,6.779696978784747,4.22557275114017,0.8513747425480669,2.65735664695284,1.656248214630795,0.732557371908601,0.7303766105054509,484732,190000.0,484743,2.551278947368421,0.85,5.73915981066185e-06,5.099790574683741e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,135,10000.0,200000.0,6.700192131183028,4.14574676820581,0.8514817876590333,2.622005439672372,1.6223674924030107,0.7323207981644195,0.7303766105054509,485514,190000.0,485522,2.555378947368421,0.85,3.7863453368939194e-06,4.092574073971943e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,136,10000.0,200000.0,6.659936551493156,4.114703109329943,0.8484111473877792,2.615047225227958,1.615657402672188,0.728952127054982,0.7303766105054509,483885,190000.0,483887,2.5467736842105264,0.85,4.647664149252116e-07,2.5874273872321373e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
mmg,3,2.55,1.0,137,10000.0,200000.0,6.779190117069591,4.224388084252259,0.8516006776056818,2.6583129357631496,1.6565031133106198,0.7325105513533594,0.7303766105054509,484535,190000.0,484536,2.5501894736842106,0.85,1.7036654769922131e-06,2.063834437918749e-06,6.68880079286422,4.13880079286422,2.623059134456557,1.623059134456557
